title,date,keywords,abstract,multilingual_abstract,source_file
Path optimization for marine vehicles in ocean currents using reinforcement learning,2016,,,"<P>This study proposes a path planning algorithm for marine vehicles based on machine learning. The algorithm considers the dynamic characteristics of the vehicle and disturbance effects in ocean environments. The movements of marine vehicles are influenced by various physical disturbances in ocean environments, such as wind, waves, and currents. In the present study, the effects of ocean currents are the primary consideration. A kinematic model is used to incorporate the nonholonomic motion characteristics of a marine vehicle, and the reinforcement learning algorithm is used for path optimization to generate a feasible path that can be tracked by the vehicle. The proposed approach determines a near-optimal path that connects the start and goal points with a reasonable computational cost when the map and current field data are provided. To verify the optimality and validity of the proposed algorithm, a set of simulations were performed in simulated and actual ocean current conditions, and their results are presented.</P>",reinforcement_learning_2016_academic_riss.csv
블렌디드 러닝(Blended Learning)을 위한 대학 교수자의 교수역량 도출,2016,"['블렌디드 러닝', '교수역량', '역량도출', '교수 전문성', 'blended learning', 'teaching competency', 'identifying competencies', 'teaching expertise']",,"In recent years, as the effectiveness and efficiency on teaching are emphasized, many university suggest blended learning, reflecting their characters. However, as of now, the programs supported by instructional reinforcement are almost about using the system to run the blended learning, but it is hard to find the programs to improve their competencies. Therefore, this study aims to figure out what constitutes teaching competency. The teaching competency of the blended learning is extracted from literatures and delphi survey. Specifically, the competency in the teaching preparation consists of instruction design. The competency associated with teaching operation is crucial and necessary in the blended learning. It is made up of eight competencies such as their leadership, facilitation, communication, teaching presence, collective intelligence, digital literature, and creativity, fairness evaluationㆍpositive feedback. Lastly, the attitude of professors constitutes two kinds of abilities containing their respect for students and their passion, which are not directly related to teaching. That is, the total number of eleven competencies and thirty-two infrastructures is made from this process. Therefore, the teaching competency developed in this study offer the information about which parts of it should be strengthened by the instructors to successfully settle down the blended learning. Moreover, the result can allow the instructors to reflect on their teaching, and allow the teams of teaching support to provide proper educational programs according to their level of competencies.",reinforcement_learning_2016_academic_riss.csv
Teaching learning-based optimization for design of cantilever retaining walls,2016,"['cantilever retaining wall', 'reinforced concrete structures', 'Teaching-Learning Based Optimization (TLBO)', 'optimum design']",,"A methodology based on Teaching Learning-Based Optimization (TLBO) algorithm is proposed for optimum design of reinforced concrete retaining walls. The objective function is to minimize total material cost including concrete and steel per unit length of the retaining walls. The requirements of the American Concrete Institute (ACI 318-05-Building code requirements for structural concrete) are considered for reinforced concrete (RC) design. During the optimization process, totally twenty-nine design constraints composed from stability, flexural moment capacity, shear strength capacity and RC design requirements such as minimum and maximum reinforcement ratio, development length of reinforcement are checked. Comparing to other nature-inspired algorithm, TLBO is a simple algorithm without parameters entered by users and self-adjusting ranges without intervention of users. In numerical examples, a retaining wall taken from the documented researches is optimized and the several effects (backfill slope angle, internal friction angle of retaining soil and surcharge load) on the optimum results are also investigated in the study. As a conclusion, TLBO based methods are feasible.",reinforcement_learning_2016_academic_riss.csv
Ubiquitous testing using tablets: its impact on medical student perceptions of and engagement in learning,2016,"['Educational measurement', 'Multimedia', 'Ubiquitous testing', 'Assessment']",,"Purpose: Ubiquitous testing has the potential to affect medical education by enhancing the authenticity of the assessment using multimedia items. This study explored medical students’ experience with ubiquitous testing and its impact on student learning. Methods: A cohort (n=48) of third-year students at a medical school in South Korea participated in this study. The students were divided into two groups and were given different versions of 10 content-matched items: one in text version (the text group) and the other in multimedia version (the multimedia group). Multimedia items were delivered using tablets. Item response analyses were performed to compare item characteristics between the two versions. Additionally, focus group interviews were held to investigate the students’ experiences of ubiquitous testing. Results: The mean test score was significantly higher in the text group. Item difficulty and discrimination did not differ between text and multimedia items. The participants generally showed positive responses on ubiquitous testing. Still, they felt that the lectures that they had taken in preclinical years did not prepare them enough for this type of assessment and clinical encounters during clerkships were more helpful. To be better prepared, the participants felt that they needed to engage more actively in learning in clinical clerkships and have more access to multimedia learning resources. Conclusion: Ubiquitous testing can positively affect student learning by reinforcing the importance of being able to understand and apply knowledge in clinical contexts, which drives students to engage more actively in learning in clinical settings.",reinforcement_learning_2016_academic_riss.csv
"The Impact of Metacognitive Instruction in Blended Learning on Learners’ Self-Efficacy, Attribution, and L2 Listening Comprehension",2016,"['self-efficacy', 'attribution', 'metacognitive instruction', 'L2 listening comprehension', 'peer collaboration', 'blended learning', 'CMC']",,"The purposes of this quasi-experimental study were to investigate the effects of metacognitive instruction for L2 listening comprehension reinforced with peer collaboration on high-intermediate learners’ self-efficacy, attributions, and the elements that factored into the changes in the two motivational constructs (N = 95). It also examined the impact of the instruction on L2 comprehension. For the two intervention groups, metacognitive instruction was reinforced by peer collaboration. The participants were randomly divided into one of the three conditions. First, the two intervention groups engaged in an instruction reinforced by peer collaboration in a blended learning environment with a synchronous Computer-Mediated Communication (CMC) tool and the other with an asynchronous CMC. The final group a conventional listening instruction. Data sources included a self-efficacy questionnaire, an attribution scale, and reflection journals. The results indicated that metacognitive instruction strengthened by peer collaboration was effective in boosting learners’ self-efficacy for L2 listening comprehension and changing important attributions more adaptive. Learners in the intervention groups perceived peer collaboration systematically accommodated offline and online learning as the main factor behind changes. Research and pedagogical implications are discussed.",reinforcement_learning_2016_academic_riss.csv
Interactive Human Intention Reading by Learning Hierarchical Behavior Knowledge Networks for Human-Robot Interaction,2016,"['Human intention reading', 'Developmental knowledge about human intention', 'Hierarchical behavior knowledge network', 'Human–robot interaction', 'Reinforcement learning.']",,"For efficient interaction between humans and robots, robots should be able to understand the meaning and intention of human behaviors as well as recognize them.This paper proposes an interactive human intention reading method in which a robot develops its own knowledge about the human intention for an object. A robot needs to understand different human behavior structures for different objects. To this end, this paper proposes a hierarchical behavior knowledge network that consists of behavior nodes and directional edges between them. In addition, a human intention reading algorithm that incorporates reinforcement learning is proposed to interactively learn the hierarchical behavior knowledge networks based on context information and human feedback through human behaviors. The effectiveness of the proposed method is demonstrated through play-based experiments between a human and a virtual teddy bear robot with two virtual objects. Experiments with multiple participants are also conducted.",reinforcement_learning_2016_academic_riss.csv
"The Impact of Metacognitive Instruction in Blended Learning on Learners` Self-Efficacy, Attribution, and L2 Listening Comprehension",2016,"['self-efficacy', 'attribution', 'metacognitive instruction', 'L2 listening comprehension', 'peer collaboration', 'blended learning', 'CMC']",,"The purposes of this quasi-experimental study were to investigate the effects of metacognitive instruction for L2 listening comprehension reinforced with peer collaboration on high-intermediate learners’ self-efficacy, attributions, and the elements that factored into the changes in the two motivational constructs (N = 95). It also examined the impact of the instruction on L2 comprehension. For the two intervention groups, metacognitive instruction was reinforced by peer collaboration. The participants were randomly divided into one of the three conditions. First, the two intervention groups engaged in an instruction reinforced by peer collaboration in a blended learning environment with a synchronous Computer-Mediated Communication (CMC) tool and the other with an asynchronous CMC. The final group a conventional listening instruction. Data sources included a self-efficacy questionnaire, an attribution scale, and reflection journals. The results indicated that metacognitive instruction strengthened by peer collaboration was effective in boosting learners’ self-efficacy for L2 listening comprehension and changing important attributions more adaptive. Learners in the intervention groups perceived peer collaboration systematically accommodated offline and online learning as the main factor behind changes. Research and pedagogical implications are discussed.",reinforcement_learning_2016_academic_riss.csv
A Movie-Based English Learning and Teaching Model Focusing on the Four Skills of English: With Reference to The Holiday,2016,,,"The aim of this study is to suggest a movie-based English learning and teaching model which can be implemented practically, focusing on the four skills of English, and based on The Holiday. For this purpose, a movie-based teaching model for university students was developed. For listening, various kinds of listening materials were chosen from movie scenes and put into practice. Moreover, two different accents, British and American, are simultaneously employed in each movie scene. For the purpose of enhancing speaking skills, a voice-over technique was applied in this model. In order to reinforce reading skills, the entire movie script was not put into teaching-instead, only the eight most useful scenes were chosen and implemented. For writing, simple and interesting topics were selected in order to give less stress to the students and inspire them to write. The following pedagogical implications were addressed, based on students’ feedback. First, the selection of a suitable movie is a key factor in designing a movie-based teaching model. Second, this model should explicitly aim for language learning and practice. Third, teachers should consider their school curriculum and time constraints. Lastly, teachers should be flexible in choosing and recognizing additional materials according to learners’ English levels and interest.",reinforcement_learning_2016_academic_riss.csv
A Movie-Based English Learning and Teaching Model Focusing on the Four Skills of English: With Reference to The Holiday,2016,"['movie-based teaching model', 'The Holiday', 'four skills of English', 'English accents']",,"The aim of this study is to suggest a movie-based English learning and teaching model which can be implemented practically, focusing on the four skills of English, and based on The Holiday. For this purpose, a movie-based teaching model for university students was developed. For listening, various kinds of listening materials were chosen from movie scenes and put into practice. Moreover, two different accents, British and American, are simultaneously employed in each movie scene. For the purpose of enhancing speaking skills, a voice-over technique was applied in this model. In order to reinforce reading skills, the entire movie script was not put into teaching–instead, only the eight most useful scenes were chosen and implemented. For writing, simple and interesting topics were selected in order to give less stress to the students and inspire them to write. The following pedagogical implications were addressed, based on students’ feedback. First, the selection of a suitable movie is a key factor in designing a movie-based teaching model. Second, this model should explicitly aim for language learning and practice. Third, teachers should consider their school curriculum and time constraints. Lastly, teachers should be flexible in choosing and recognizing additional materials according to learners’ English levels and interest.",reinforcement_learning_2016_academic_riss.csv
Increased correlation coefficient between the written test score and tutors’ performance test scores after training of tutors for assessment of medical students during problem-based learning course in Malaysia,2016,"['Assessment', 'Malaysia', 'Medical students', 'Problem-based learning', 'Undergraduate medical education']",,"This paper is aimed at finding if there was a change of correlation between the written test score and tutors’ performance test scores in the assessment of medical students during a problem-based learning (PBL) course in Malaysia. This is a cross-sectional observational study, conducted among 264 medical students in two groups from November 2010 to November 2012. The first group’s tutors did not receive tutor training; while the second group’s tutors were trained in the PBL process. Each group was divided into high, middle and low achievers based on their end-of-semester exam scores. PBL scores were taken which included written test scores and tutors’ performance test scores. Pearson correlation coefficient was calculated between the two kinds of scores in each group. The correlation coefficient between the written scores and tutors’ scores in group 1 was 0.099 (p<0.001) and for group 2 was 0.305 (p<0.001). The higher correlation coefficient in the group where tutors received the PBL training reinforces the importance of tutor training before their participation in the PBL course.",reinforcement_learning_2016_academic_riss.csv
