title,date,keywords,abstract,multilingual_abstract,source_file,year
Inverse reinforcement learning control for trajectory tracking of a multirotor UAV,2017,,,"PThe main purpose of this paper is to learn the control performance of an expert by imitating the demonstrations of a multirotor UAV (unmanned aerial vehicle) operated by an expert pilot. First, we collect a set of several demonstrations by an expert for a certain task which we want to learn. We extract a representative trajectory from the datdset. Here, the representative trajectory includes a sequence of state and input. The trajectory is obtained using hidden Markov model (HMM) and dynamic time warping (DTW). In the next step, the multirotor learns to track the trajectory for imitation. Although we have data of feed-forward input for each time sequence, using this input diiectly can deteriorate the stability of the multirotor due to insufficient data for generalization and numerical issues., For that reason, a controller is needed which generates the input command for the suitable flight maneuver. To design such a controller, we learn the hidden reward function of a quadratic form from the demonstrated flights using inverse reinforcement learning. After we find the optimal reward function that minimizes the trajectory tracking error, we design a reinforcement learning based controller using this reward function. The simulation and experiment applied to a multirotor UAV show successful imitation results.P",reinforcement_learning_2017_academic_riss.csv,2017
Collision Prediction based Genetic Network Programming-Reinforcement Learning for Mobile Robot Navigation in Unknown Dynamic Environments,2017,"['Collision prediction', 'Genetic NETWORK PROGRAMMING with Reinforcement Learning (GNP-RL)', 'Mobile robot navigation', 'Unknown dynamic environment']",,"The problem of determining a smooth and collision-free path with maximum possible speed for a Mobile Robot (MR) which is chasing a moving target in a dynamic environment is addressed in this paper. Genetic Network Programming with Reinforcement Learning (GNP-RL) has several important features over other evolutionary algorithms such as it combines offline and online learning on the one hand, and it combines diversified and intensified search on the other hand, but it was used in solving the problem of MR navigation in static environment only. This paper presents GNP-RL based on predicting collision positions as a first attempt to apply it for MR navigation in dynamic environment. The combination between features of the proposed collision prediction and that of GNP-RL provides safe navigation (effective obstacle avoidance) in dynamic environment, smooth movement, and reducing the obstacle avoidance latency time. Simulation in dynamic environment is used to evaluate the performance of collision prediction based GNP-RL compared with that of two state-of-the art navigation approaches, namely, Q-Learning (QL) and Artificial Potential Field (APF). The simulation results show that the proposed GNP-RL outperforms both QL and APF in terms of smooth movement and safer navigation. In addition, it outperforms APF in terms of preserving maximum possible speed during obstacle avoidance.",reinforcement_learning_2017_academic_riss.csv,2017
A Reinforcement Learning Approach to Access Management in Wireless Cellular Networks,2017,,,"PIn smart city applications, huge numbers of devices need to be connected in an autonomous manner. 3rd Generation Partnership Project (3GPP) specifies that Machine Type Communication (MTC) should be used to handle data transmission among a large number of devices. However, the data transmission rates are highly variable, and this brings about a congestion problem. To tackle this problem, the use of Access Class Barring (ACB) is recommended to restrict the number of access attempts allowed in data transmission by utilizing strategic parameters. In this paper, we model the problem of determining the strategic parameters with a reinforcement learning algorithm. In our model, the system evolves to minimize both the collision rate and the access delay. The experimental results show that our scheme improves system performance in terms of the access success rate, the failure rate, the collision rate, and the access delay.P",reinforcement_learning_2017_academic_riss.csv,2017
RLCF A collaborative filtering approach based on reinforcement learning with sequential ratings,2017,,,,reinforcement_learning_2017_academic_riss.csv,2017
An Energy-Efficient Topology Control Algorithm Based on Reinforcement Learning for Wireless Sensor Networks,2017,,,,reinforcement_learning_2017_academic_riss.csv,2017
Neurodevelopmental Changes in Social Reinforcement Processing A Functional Magnetic Resonance Imaging Study,2017,"['Functional magnetic resonance imaging', 'Social reward', 'Ventro-medial prefrontal cortex', 'Amygdala', 'Anterior insula', 'Context-dependent psychophysiological interaction.']",,"Objective In the current study we investigated neurodevelopmental changes in response to social and non-social reinforcement. Methods Fifty-three healthy participants including 16 early adolescents (age, 10-15 years), 16 late adolescents (age, 15-18 years), and 21 young adults (age, 21-25 years) completed a socialnon-social reward learning task while undergoing functional magnetic resonance imaging. Participants responded to fractal image stimuli and received social or non-social rewardnon-rewards according to their accuracy. ANOVAs were conducted on both the blood oxygen level dependent response data and the product of a context-dependent psychophysiological interaction (gPPI) analysis involving ventromedial prefrontal cortex (vmPFC) and bilateral insula cortices as seed regions. Results Early adolescents showed significantly increased activation in the amygdala and anterior insula cortex in response to non-social monetary rewards relative to both social rewardnon-reward and monetary non-rewards compared to late adolescents and young adults. In addition, early adolescents showed significantly more positive connectivity between the vmPFCbilateral insula cortices seeds and other regions implicated in reinforcement processing (the amygdala, posterior cingulate cortex, insula cortex, and lentiform nucleus) in response to non-reward and especially social non-reward, compared to late adolescents and young adults. Conclusion It appears that early adolescence may be marked by (i) a selective increase in responsiveness to non-social, relative to social, rewards and (ii) enhanced, integrated functioning of reinforcement circuitry for non-reward, and in particular, with respect to posterior cingulate and insula cortices, for social non-reward.",reinforcement_learning_2017_academic_riss.csv,2017
Integral Temporal Difference Learning for Continuous-Time Linear Quadratic Regulations,2017,"['Adaptive optimal control', 'linear quadratic regulation', 'reinforcement learning', 'temporal difference', 'value iteration']",,"In this paper, we propose a temporal difference (TD) learning method, called integral TD learning thatefficiently finds solutions to continuous-time (CT) linear quadratic regulation (LQR) problems in an online fashionwhere system matrix A is unknown. The idea originates from a computational reinforcement learning methodknown as TD(0), which is the simplest TD method in a finite Markov decision process. For the proposed integral TDmethod, we mathematically analyze the positive definiteness of the updated value functions, monotone convergenceconditions, and stability properties concerning the locations of the closed-loop poles in terms of the learning rateand the discount factor. The proposed method includes the existing value iteration method for CT LQR problemsas a special case. Finally, numerical simulations are carried out to verify the effectiveness of the proposed methodand further investigate the aforementioned mathematical properties.",reinforcement_learning_2017_academic_riss.csv,2017
Cyclic Error Correction based Q-learning for Mobile Robots Navigation,2017,"['Cyclic step-size', 'ensemble wisdom', 'mobile robots navigation', 'reinforcement learning']",,"Similar to control systems, reinforcement learning can capture notions of optimal behavior using naturalinteraction experience. In the context of reinforcement learning, the temporal difference error of the generatedexperience measures how well the learner responds to the system. Specially sequential difference of accumulatedtemporal difference error can indicate the learning performance. In this paper, we fully utilize the error correction inclosed-loop peculiarity by mapping a representation error to the step-size component. The proposed cyclic step-sizecould better control how new estimates are iteratively blended together over time, and the new estimates guide theaction selection process which in turn influence the value distribution. To guide more promising action decision, anensemble action selector is proposed which incorporates the idea of ensemble wisdom of the weak. Experimentalresults conducted under gridworld mobile robot navigation task demonstrate the validity, capacity of fast learningand easy-plugged implementation of the derived algorithm, leading to increasing applicability to real-life problems.",reinforcement_learning_2017_academic_riss.csv,2017
Q-learning을 이용한 모바일 로봇의 동적 장애물 회피 및 최적 경로 탐색 알고리즘,2017,"['machine learning', 'reinforcement learning', 'q-learning', 'mobile robot', 'dynamic obstacles']",,,reinforcement_learning_2017_academic_riss.csv,2017
Robust Visual Tracking Using Structure-Preserving Sparse Learning,2017,,,"PEven though numerous visual tracking methods have been proposed to deal with image streams, it is a still challenging problem to facilitate a tracking method to accurately distinguish the target from the background without drifting under the severe appearance variation of target caused by distortion of local structures. For preserving local structures of target template datasets, we present a novel structure-preserving sparse learning algorithm by obtaining sparse coefficients under maximum margin projection-based subspace representation and by updating the sparse codes under multiple task feature selection framework. To reinforce local structures of targets, we adopted a novel optimization process using an accelerated proximal gradient shrinkage operation and an efficient stopping criterion. Experimental results demonstrate that the proposed method outperforms existing state-of-the-art tracking methods.P",reinforcement_learning_2017_academic_riss.csv,2017
